Marks,Intensity(V)
,0.102686
,0.079904
,0.094474
,0.093108
,0.086893
,0.093353
,0.112630
,0.095839
,0.102278
,0.084000
,0.092782
,0.093801
,0.103154
,0.087036
,0.075360
,0.076195
,0.076053
,0.099751
,0.098875
,0.073444
,0.116196
,0.100505
,0.089237
,0.100892
,0.095839
,0.096878
,0.090215
,0.092579
,0.094759
,0.082186
,0.088544
,0.101708
,0.112304
,0.097428
,0.097917
,0.096858
,0.105274
,0.122329
,0.164856
493.4,0.256635
,0.272651
,0.317399
,0.403411
,0.527752
,0.495312
,0.481170
,0.535842
,0.556117
,0.581996
,0.565593
,0.485714
,0.447222
,0.414130
,0.336574
,0.386355
,0.325204
,0.337613
,0.325082
,0.249075
,0.222299
,0.229187
,0.245896
,0.251887
,0.355790
,0.421812
,0.593285
,0.645308
,0.686775
,0.698635
,0.621670
,0.681110
,0.695578
,0.569994
,0.534558
,0.384338
,0.311164
,0.252233
,0.218102
,0.187108
,0.170317
,0.141423
,0.159416
,0.120373
,0.123389
,0.109553
,0.123063
,0.099283
,0.097958
,0.097856
,0.131316
,0.080699
,0.090643
4090.8,0.085671
,0.088483
,0.092456
,0.081738
,0.090419
,0.089685
,0.095880
,0.097225
,0.074239
,0.083653
,0.095044
,0.092966
,0.110959
