Time(s),Position(V)
0.356000,3.186992
3.371000,3.094499
6.371000,3.006021
9.371000,2.924523
12.372000,2.846189
15.370000,2.767372
18.370000,2.688325
21.370000,2.608329
24.370000,2.527656
27.370000,2.448411
30.368000,2.362483
33.369000,2.278193
36.369000,2.192445
39.369000,2.105385
42.369000,2.019766
45.367000,1.934763
48.367000,1.849426
51.368000,1.770154
54.368000,1.688948
57.368000,1.608360
60.368000,1.528367
63.366000,1.450989
66.366000,1.372791
69.365000,1.298795
72.366000,1.223932
75.366000,1.153155
78.366000,1.083374
81.366000,1.010306
84.366000,0.946356
87.364000,0.877190
90.365000,0.817163
93.365000,0.752712
96.365000,0.692542
99.365000,0.632905
102.363000,0.576793
105.363000,0.519550
108.363000,0.464795
111.364000,0.411804
114.364000,0.360550
117.362000,0.314155
120.362000,0.267429
123.362000,0.221988
126.362000,0.180325
129.363000,0.141832
132.361000,0.103854
135.362000,0.065943
138.362000,0.031544
141.360000,0.001975
144.360000,-0.029296
147.360000,-0.059110
150.361000,-0.081917
153.361000,-0.106627
156.359000,-0.128496
159.359000,-0.146608
162.359000,-0.162324
165.359000,-0.175521
168.360000,-0.188602
171.360000,-0.198675
174.358000,-0.206561
177.358000,-0.211565
180.358000,-0.212048
183.358000,-0.204600
186.358000,-0.183119
189.357000,-0.180443
192.357000,-0.198022
195.357000,-0.173111
198.357000,-0.156973
201.357000,-0.147475
204.357000,-0.138946
207.357000,-0.118872
210.357000,-0.098465
213.355000,-0.076406
216.355000,-0.051852
219.355000,-0.026502
222.355000,0.001798
225.355000,0.019309
228.356000,0.059674
231.354000,0.098326
234.354000,0.108484
237.354000,0.162651
240.354000,0.212296
243.354000,0.252614
246.353000,0.297800
249.353000,0.341772
252.352000,0.387760
255.352000,0.416920
258.352000,0.484954
261.352000,0.532764
264.352000,0.587481
267.353000,0.640918
270.351000,0.694527
273.351000,0.748623
276.351000,0.783705
279.351000,0.848060
282.351000,0.906636
285.349000,0.985150
288.350000,1.030105
291.350000,1.110179
294.350000,1.170224
297.350000,1.234674
300.348000,1.280903
303.348000,1.354396
306.349000,1.426802
309.349000,1.498268
312.349000,1.564330
315.349000,1.631099
318.347000,1.697443
321.347000,1.763947
324.347000,1.829050
327.348000,1.897301
330.348000,1.967680
333.346000,2.039068
336.346000,2.108271
339.346000,2.177515
342.346000,2.246099
345.347000,2.317124
348.345000,2.389152
351.345000,2.456376
354.345000,2.516241
357.345000,2.577485
360.345000,2.640460
363.344000,2.700546
366.344000,2.760856
369.344000,2.816610
372.344000,2.872749
375.344000,2.927470
378.344000,2.983391
381.342000,3.038309
384.343000,3.094781
387.343000,3.151188
390.343000,3.212202
393.343000,3.273827
396.341000,3.345464
399.341000,3.409347
402.341000,3.467168
405.342000,3.517899
408.342000,3.563890
411.341000,3.609283
414.341000,3.649329
417.341000,3.688215
420.339000,3.724783
423.340000,3.759478
426.340000,3.792001
429.340000,3.823833
432.340000,3.857848
435.340000,3.893573
438.338000,3.926728
441.338000,3.962664
444.339000,3.996444
447.339000,4.030921
450.339000,4.066538
453.337000,4.099621
456.337000,4.127252
459.337000,4.151636
462.338000,4.176252
465.338000,4.198110
468.336000,4.217868
471.336000,4.232683
474.336000,4.246080
477.336000,4.258862
480.336000,4.266943
483.335000,4.266021
486.335000,4.277784
489.335000,4.262972
492.335000,4.280214
495.335000,4.270566
498.335000,4.283569
501.334000,4.269737
504.334000,4.274316
507.334000,4.258291
510.334000,4.254456
513.334000,4.248589
516.332000,4.235936
519.332000,4.226377
522.333000,4.214662
525.332000,4.198596
528.332000,4.180144
531.332000,4.165720
534.332000,4.143270
537.331000,4.121881
540.332000,4.093774
543.332000,4.064678
546.332000,4.034453
549.331000,4.000734
552.331000,3.964316
555.329000,3.929719
558.329000,3.897054
561.330000,3.862220
564.330000,3.831135
567.330000,3.797130
570.329000,3.767555
573.329000,3.734920
576.329000,3.701500
579.328000,3.666312
582.328000,3.632552
585.328000,3.595219
588.328000,3.556329
591.328000,3.515356
594.328000,3.471159
597.326000,3.424930
600.327000,3.373812
603.327000,3.319761
606.327000,3.262480
609.327000,3.203618
612.325000,3.146263
615.325000,3.093585
618.326000,3.040080
621.326000,2.987178
624.326000,2.938185
627.324000,2.887231
630.324000,2.839961
633.324000,2.788871
636.323000,2.738725
639.324000,2.686866
642.324000,2.634467
645.324000,2.582363
648.324000,2.528577
